fdc_id,description,carbs_g,calories,protein_g,fat_g
324090,"BEEF BREAKFAST SAUSAGE, ECKRICH SAUSAGE LINKS",,,,28.5
324104,"BEEF BREAKFAST SAUSAGE, BANQUET BROWN N SERVE SAUSAGE LINKS",,,,28.1
324127,"BEEF BREAKFAST SAUSAGE, BANQUET BROWN N SERVE SAUSAGE LINKS",,,,28.0
324146,"BEEF BREAKFAST SAUSAGE, BANQUET BROWN N SERVE SAUSAGE LINKS, MAPLE FLAVOR",,,,32.5
324157,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",3.37,849.0,13.3,28.7
324164,"Proximates, Onion rings, frozen, ALEXIA (CA2,NC) - NFY120675",,,,15.0
324169,"Proximates, Onion rings, frozen, Store brand/other (AL,MI) - NFY12068R",,,,15.7
324176,"Proximates, Onion rings, frozen, ORE-IDA (CA2,NC) - NFY12069K",,,,12.8
324190,"Proximates, Onion rings, frozen, ALEXIA (FL,MO) - NFY12068D",,,,15.8
324209,"Proximates, Onion rings, frozen, ORE-IDA (CA1,CT) - NFY120696",,,,12.6
324227,"Proximates, Onion rings, frozen, ALEXIA (CO,CT) - NFY12067K",,,,14.8
324246,"Proximates, Onion rings, frozen, ORE-IDA (NY,OK) - NFY1206AS",,,,13.7
324258,"Proximates, Onion rings, frozen, ALEXIA (IN,NY) - NFY12066A",,,,15.8
324264,"Proximates, Onion rings, frozen, Store brand/other (CO,IN) - NFY12069Z",,,,13.9
324285,"Proximates, Onion rings, frozen, ORE-IDA (FL,MO) - NFY1206AE",,,,12.6
324311,"Proximates, Onion rings, frozen, ALEXIA (AL,OK) - NFY12066P",,,,15.4
324317,"Onion rings, breaded, par fried, frozen, prepared, heated in oven",36.3,749.0,4.52,14.4
324324,"Proximates, Pickles, kosher dill, spears, VLASIC (FL,MO) - NFY120HMY",,,,0.24
324331,"Proximates, Pickles, kosher dill, spears, VLASIC (CA2,NC) - NFY120HMD",,,,0.36
324338,"Proximates, Pickles, kosher dill, spears, VLASIC (IN,NY) - NFY120HLM",,,,0.3
324347,"Proximates, Pickles, kosher dill, spears, VLASIC (CO,CT) - NFY120HMM",,,,0.4
324358,"Proximates, Pickles, kosher dill, spears, CLAUSEN (IN,NY) - NFY120HNO",,,,0.3
324365,"Proximates, Pickles, kosher dill, spears, CLAUSEN (CA2,NC) - NFY120HOC",,,,0.24
324377,"Proximates, Pickles, kosher dill, spears, VLASIC (MI,OK) - NFY120HN9",,,,0.24
324394,"Proximates, Pickles, kosher dill, spears, VLASIC (AL,CA1) - NFY120HLX",,,,0.32
324409,"Proximates, Pickles, kosher dill, spears, CLAUSEN (CO,CT) - NFY120HOK",,,,0.2
324420,"Proximates, Pickles, kosher dill, spears, CLAUSEN (MI,OK) - NFY120HOV",,,,0.36
324431,"Proximates, Pickles, kosher dill, spears, CLAUSEN (AL,CA1) - NFY120HNX",,,,0.35
324444,"Proximates, Pickles, kosher dill, spears, store brand, AMERICAS CHOICE & SHOP RITE (NY,CT1) - NFY120HPJ",,,,0.28
324451,"Proximates, Pickles, kosher dill, spears, store brand, HY VEE & PUBLIX (MO1,FL) - NFY120HQO",,,,0.3
324458,"Proximates, Pickles, kosher dill, spears, store brand, FOOD LION & SUNNY SELECT (NC1,CA2) - NFY120HQ5",,,,0.28
324465,"Proximates, Pickles, kosher dill, spears, store brand, SAFEWAY (CA1,CO1) - NFY120HPR",,,,0.25
324480,"Proximates, Pickles, kosher dill, spears, store brand, GREAT VALUE & GREAT VALUE (AL1,OK1) - NFY120HQD",,,,0.36
324496,"Proximates, Pickles, kosher dill, spears, CLAUSEN (FL,MO) - NFY120HP5",,,,0.33
324506,"Pickles, kosher dill",,,,0.44
324512,"Pickles, kosher dill",,,,0.7
324524,"Proximates, Pickles, kosher dill, spears, store brand, KROGER (IN1,MI1) - NFY120HQX",,,,0.37
324536,"Pickles, kosher dill",,,,0.63
324544,"Pickles, kosher dill",,,,0.65
324552,"Pickles, kosher dill",,,,0.87
324560,"Pickles, kosher dill",,,,0.57
324565,"Pickles, kosher dill",,,,0.26
324574,"Pickles, kosher dill",,,,0.6
324581,"Pickles, kosher dill",,,,0.55
324589,"Pickles, kosher dill",,,,0.68
324597,"Pickles, kosher dill",,,,0.55
324604,"Pickles, kosher dill",,,,0.49
324611,"Pickles, kosher dill",,,,0.63
324620,"Pickles, kosher dill",,,,0.6
324628,"Pickles, kosher dill",,,,0.9
324636,"Pickles, kosher dill",,,,0.42
324644,"Pickles, kosher dill",,,,0.52
324651,"Pickles, kosher dill",,,,0.0
324653,"Pickles, cucumber, dill or kosher dill",1.99,31.0,0.48,0.43
324660,"Proximates, Peanut butter, creamy, SKIPPY (MI) - NFY120C7Y",,,,50.2
324667,"Proximates, Peanut butter, creamy, SKIPPY (IN,NY) - NFY120C6F",,,,50.4
324679,"Proximates, Peanut butter, creamy, SKIPPY (CO,CT) - NFY120C7L",,,,50.3
324688,"Proximates, Peanut butter, creamy, JIF (IN,NY) - NFY120C8R",,,,52.0
324705,"Proximates, Peanut butter, creamy, SKIPPY (FL,MO) - NFY120C8D",,,,49.7
324714,"Proximates, Peanut butter, creamy, SKIPPY (AL,CA1) - NFY120C6T",,,,50.8
324731,"Proximates, Peanut butter, creamy, JIF (CA2,NC) - NFY120C9J",,,,51.8
324743,"Proximates, Peanut butter, creamy, JIF (AL,CA1) - NFY120C96",,,,52.2
324753,"Proximates, Peanut butter, creamy, JIF (FL,MO) - NFY120CAA",,,,51.4
324759,"Proximates, Peanut butter, creamy, store brand/other brand, AMERICAS CHOICE & GREAT VALUE (NY) - NFY120CB3",,,,52.5
324765,"Proximates, Peanut butter, creamy, store brand/other brand, MY ESSENTIALS & SUNNY SELECT (CA2,NC) - NFY120CBW",,,,50.0
324776,"Proximates, Peanut butter, creamy, JIF (CO,CT) - NFY120C9W",,,,51.7
324793,"Proximates, Peanut butter, creamy, JIF (MI,OK) - NFY120CAP",,,,52.7
324804,"Proximates, Peanut butter, creamy, store brand/other brand, HYVEE & PUBLIX (FL,MO) - NFY120CCO",,,,51.0
324817,"Proximates, Peanut butter, creamy, store brand/other brand, GREAT VALUE (AL,OK) - NFY120CBI",,,,50.2
324833,"Proximates, Peanut butter, creamy, store brand/other brand, KROGER (IN,MI) - NFY120CCA",,,,51.2
